doc_id,title,source_type,publisher,source_url,local_path,published_at,event_date,retrieved_at,company_name,industry_id,trust_level,review_status
DOC-SYN-001,示例食品公司2025年年度报告（合成演示）,annual_report,示例食品公司,,fixtures/synthetic/food_beverage/annual_report_2025.pdf,2026-03-30,2025-12-31,2026-08-20T10:00:00+08:00,示例食品公司,food_beverage,1,red_team
DOC-SYN-002,示例食品公司2025年半年度报告（合成演示）,interim_report,示例食品公司,,fixtures/synthetic/food_beverage/interim_report_2025.pdf,2025-08-29,2025-06-30,2026-08-20T10:00:00+08:00,示例食品公司,food_beverage,1,red_team
DOC-SYN-003,示例食品公司渠道与经销商公告（合成演示）,company_release,示例食品公司,,fixtures/synthetic/food_beverage/channel_notice.pdf,2026-04-10,,2026-08-20T10:00:00+08:00,示例食品公司,food_beverage,1,red_team
DOC-SYN-004,示例食品公司食品安全抽检公告（合成演示）,company_release,示例食品公司,,fixtures/synthetic/food_beverage/food_safety_notice.pdf,2026-05-15,,2026-08-20T10:00:00+08:00,示例食品公司,food_beverage,1,red_team
DOC-SYN-005,食品安全监管政策文件（合成演示）,policy,示例监管机构,,fixtures/synthetic/food_beverage/food_safety_policy.pdf,2025-06-01,,2026-08-20T10:00:00+08:00,,food_beverage,1,red_team
DOC-SYN-006,食品饮料行业消费趋势报道（合成演示）,news,示例财经媒体,,fixtures/synthetic/food_beverage/industry_news.pdf,2026-04-20,,2026-08-20T10:00:00+08:00,,food_beverage,1,red_team
DOC-SYN-007,示例银行2025年年度报告（合成演示）,annual_report,示例银行,,fixtures/synthetic/banking/annual_report_2025.pdf,2026-03-30,2025-12-31,2026-08-20T10:00:00+08:00,示例银行,banking,1,red_team
DOC-SYN-008,示例银行2025年半年度报告（合成演示）,interim_report,示例银行,,fixtures/synthetic/banking/interim_report_2025.pdf,2025-08-29,2025-06-30,2026-08-20T10:00:00+08:00,示例银行,banking,1,red_team
DOC-SYN-009,示例银行不良率与拨备公告（合成演示）,announcement,示例银行,,fixtures/synthetic/banking/credit_quality_notice.pdf,2026-01-20,,2026-08-20T10:00:00+08:00,示例银行,banking,1,red_team
DOC-SYN-010,示例银行资本充足率公告（合成演示）,announcement,示例银行,,fixtures/synthetic/banking/capital_notice.pdf,2026-02-15,,2026-08-20T10:00:00+08:00,示例银行,banking,1,red_team
DOC-SYN-011,银行业房地产风险监管政策（合成演示）,policy,示例监管机构,,fixtures/synthetic/banking/real_estate_policy.pdf,2026-04-10,,2026-08-20T10:00:00+08:00,,banking,1,red_team
